;Bone,ボーン名,ボーン名(英),変形階層,物理後(0/1),位置_x,位置_y,位置_z,回転(0/1),移動(0/1),IK(0/1),表示(0/1),操作(0/1),親ボーン名,表示先(0:オフセット/1:ボーン),表示先ボーン名,オフセット_x,オフセット_y,オフセット_z,ローカル付与(0/1),回転付与(0/1),移動付与(0/1),付与率,付与親名,軸制限(0/1),制限軸_x,制限軸_y,制限軸_z,ローカル軸(0/1),ローカルX軸_x,ローカルX軸_y,ローカルX軸_z,ローカルZ軸_x,ローカルZ軸_y,ローカルZ軸_z,外部親(0/1),外部親Key,IKTarget名,IKLoop,IK単位角[deg]
Bone,"右スカート32","",0,0,-1.981744,11.06764,0.737005,1,0,0,1,1,"右スカート31",0,"",-0.2532758,-2.127774,0.09805846,0,0,0,1,"",0,0,0,0,1,-0.9921105,0.1158908,-0.04780884,-0.118073,-0.9919331,0.04571315,0,0,"",0,57.29578
Bone,"右スカート33","",0,0,-2.23502,8.939864,0.8350635,1,0,0,1,1,"右スカート32",0,"",-0.2184868,-2.102139,0.03508627,0,0,0,1,"",0,0,0,0,1,-0.9928045,0.1021445,-0.06249389,-0.1033634,-0.9944964,0.01659892,0,0,"",0,57.29578
Bone,"右スカート34","",0,0,-2.453506,6.837725,0.8701497,1,0,0,1,1,"右スカート33",0,"",-0.1747403,-1.478461,0.002260268,0,0,0,1,"",0,0,0,0,1,-0.9900752,0.1168984,-0.0780129,-0.1173743,-0.9930922,0.001518246,0,0,"",0,57.29578
Bone,"右スカート35","",0,1,-2.628247,5.359263,0.87241,1,0,0,1,1,"右スカート34",0,"",-0.04341364,-0.3673191,0.02439106,0,0,0,1,"",0,0,0,0,1,-0.9908701,0.1121421,-0.07483665,-0.1171189,-0.9909328,0.06580082,0,0,"",0,57.29578
Bone,"右スカート41","",0,0,-1.406167,12.8624,0.7414907,1,0,0,1,1,"下半身",0,"",-0.2244802,-1.794762,0.2010325,0,0,0,1,"",0,0,0,0,1,-0.9892612,0.113404,-0.09220601,-0.1233496,-0.9862032,0.1104652,0,0,"",0,57.29578
Bone,"右スカート42","",0,0,-1.630647,11.06764,0.9425232,1,0,0,1,1,"右スカート41",0,"",-0.1232378,-2.127774,0.1745651,0,0,0,1,"",0,0,0,0,1,-0.9978669,0.05489669,-0.03532893,-0.05762921,-0.9950024,0.08163116,0,0,"",0,57.29578
Bone,"右スカート43","",0,0,-1.753885,8.939864,1.117088,1,0,0,1,1,"右スカート42",0,"",-0.1232376,-2.102139,0.1034003,0,0,0,1,"",0,0,0,0,1,-0.9977818,0.05678588,-0.03474258,-0.05845452,-0.9970946,0.0490452,0,0,"",0,57.29578
Bone,"右スカート44","",0,0,-1.877123,6.837725,1.220489,1,0,0,1,1,"右スカート43",0,"",-0.09817934,-1.479835,0.0294652,0,0,0,1,"",0,0,0,0,1,-0.9969163,0.06527288,-0.04356024,-0.06618658,-0.9976151,0.01986374,0,0,"",0,57.29578
Bone,"右スカート45","",0,1,-1.975302,5.35789,1.249954,1,0,0,1,1,"右スカート44",0,"",-0.02427864,-0.3659458,0.02429986,0,0,0,1,"",0,0,0,0,1,-0.9970961,0.06334507,-0.0422748,-0.06605574,-0.9956416,0.06611354,0,0,"",0,57.29578
Bone,"右スカート51","",0,0,-1.081865,12.8624,1.074422,1,0,0,1,1,"下半身",0,"",-0.1531589,-1.794762,0.2269326,0,0,0,1,"",0,0,0,0,1,-0.9950635,0.07699934,-0.06260619,-0.0843599,-0.9885543,0.1249945,0,0,"",0,57.29578
Bone,"右スカート52","",0,0,-1.235024,11.06764,1.301355,1,0,0,1,1,"右スカート51",0,"",-0.01602995,-2.127774,0.1742922,0,0,0,1,"",0,0,0,0,1,-0.999964,0.007156163,-0.004605346,-0.007508458,-0.9966531,0.08163898,0,0,"",0,57.29578
Bone,"右スカート53","",0,0,-1.251054,8.939864,1.475647,1,0,0,1,1,"右スカート52",0,"",-0.092219,-2.102139,0.1034003,0,0,0,1,"",0,0,0,0,1,-0.9987559,0.04253449,-0.02602346,-0.04377358,-0.9978223,0.04908092,0,0,"",0,57.29578
Bone,"右スカート54","",0,0,-1.343273,6.837725,1.579047,1,0,0,1,1,"右スカート53",0,"",0,-1.481585,0.02958143,0,0,0,1,"",0,0,0,0,1,-1,0,0,0,-0.9998007,0.01996207,0,0,"",0,57.29578
Bone,"右スカート55","",0,1,-1.343273,5.35614,1.608629,1,0,0,1,1,"右スカート54",0,"",0,-0.3641958,0.02418375,0,0,0,1,"",0,0,0,0,1,-0.9999998,0,0,0,-0.9977849,0.06625575,0,0,"",0,57.29578
Bone,"右スカート61","",0,0,-0.5884829,12.8624,1.074422,1,0,0,1,1,"下半身",0,"",0,-1.794762,0.1243581,0,0,0,1,"",0,0,0,0,1,-0.9999998,0,0,0,-0.9975905,0.06912225,0,0,"",0,57.29578
Bone,"右スカート62","",0,0,-0.5884829,11.06764,1.19878,1,0,0,1,1,"右スカート61",0,"",0,-2.127774,0.09805846,0,0,0,1,"",0,0,0,0,1,-1,0,0,0,-0.9989398,0.04603624,0,0,"",0,57.29578
Bone,"右スカート63","",0,0,-0.5884829,8.939864,1.296839,1,0,0,1,1,"右スカート62",0,"",0,-2.102139,0.1034003,0,0,0,1,"",0,0,0,0,1,-1,0,0,0,-0.9987925,0.04912865,0,0,"",0,57.29578
Bone,"右スカート64","",0,0,-0.5884829,6.837725,1.400239,1,0,0,1,1,"右スカート63",0,"",0,-1.480712,0.02952361,0,0,0,1,"",0,0,0,0,1,-0.9999999,0,0,0,-0.9997903,0.01993449,0,0,"",0,57.29578
Bone,"右スカート65","",0,1,-0.5884829,5.357012,1.429762,1,0,0,1,1,"右スカート64",0,"",0,-0.365068,0.02424145,0,0,0,1,"",0,0,0,0,1,-1,0,0,0,-0.997807,0.06625691,0,0,"",0,57.29578
Bone,"左スカート11","",0,0,1.860648,12.8624,-0.5284371,1,0,0,1,1,"下半身",0,"",0.2244334,-1.794762,0.1243579,0,0,0,1,"",0,0,0,0,1,-0.9885604,-0.1170257,0.09515065,0.1237922,-0.9899485,0.06859291,0,0,"",0,57.29578
Bone,"左スカート12","",0,0,2.085081,11.06764,-0.4040792,1,0,0,1,1,"左スカート11",0,"",0.2078829,-2.127774,0.04676485,0,0,0,1,"",0,0,0,0,1,-0.9935014,-0.09571104,0.06159533,0.09721195,-0.9950077,0.0218685,0,0,"",0,57.29578
Bone,"左スカート13","",0,0,2.292964,8.939864,-0.3573143,1,0,0,1,1,"左スカート12",0,"",0.2231946,-2.102139,-0.005185246,0,0,0,1,"",0,0,0,0,1,-0.9923196,-0.1055187,0.06455828,0.1055817,-0.9944131,-0.002452801,0,0,"",0,57.29578
Bone,"左スカート14","",0,0,2.516159,6.837725,-0.3624996,1,0,0,1,1,"左スカート13",0,"",0.2428606,-1.935031,0.05859527,0,0,0,1,"",0,0,0,0,1,-0.989239,-0.1216974,0.0812154,0.1244739,-0.9917662,0.03003184,0,0,"",0,57.29578
Bone,"左スカート15","",0,0,2.759019,4.902694,-0.3039043,1,0,0,1,1,"左スカート14",0,"",0.1802073,-1.79998,0.05450577,0,0,0,1,"",0,0,0,0,1,-0.9914393,-0.09659899,0.08784839,0.09957577,-0.9946015,0.03011797,0,0,"",0,57.29578
Bone,"左スカート16","",0,1,2.939226,3.102714,-0.2493986,1,0,0,1,1,"左スカート15",0,"",0.0312891,-0.3125281,0.009463757,0,0,0,1,"",0,0,0,0,1,-0.9914396,-0.096599,0.08784507,0.09957555,-0.9946007,0.03011795,0,0,"",0,57.29578
Bone,"左スカート21","",0,0,1.871477,12.8624,0.07891774,1,0,0,1,1,"下半身",0,"",0.1989932,-1.794762,0.1243579,0,0,0,1,"",0,0,0,0,1,-0.9909737,-0.1040138,0.08457091,0.1099388,-0.9915609,0.06870472,0,0,"",0,57.29578
Bone,"左スカート22","",0,0,2.07047,11.06764,0.2032757,1,0,0,1,1,"左スカート21",0,"",0.1578307,-2.127774,0.04676485,0,0,0,1,"",0,0,0,0,1,-0.9648743,-0.06598209,0.25429,0.07395364,-0.9969971,0.02191206,0,0,"",0,57.29578
Bone,"左スカート23","",0,0,2.228301,8.939864,0.2500405,1,0,0,1,1,"左スカート22",0,"",0.07140255,-2.102139,-0.005185246,0,0,0,1,"",0,0,0,0,1,-0.9992058,-0.03399093,0.02079627,0.03394721,-0.999429,-0.002465268,0,0,"",0,57.29578
Bone,"左スカート24","",0,0,2.299704,6.837725,0.2448553,1,0,0,1,1,"左スカート23",0,"",0.1418197,-1.935031,0.05859527,0,0,0,1,"",0,0,0,0,1,-0.9962908,-0.07157246,0.04776438,0.07305938,-0.9968441,0.03018576,0,0,"",0,57.29578
Bone,"左スカート25","",0,0,2.441523,4.902694,0.3034506,1,0,0,1,1,"左スカート24",0,"",0.1153848,-1.796037,0.05438638,0,0,0,1,"",0,0,0,0,1,-0.9956117,-0.06183527,0.07023861,0.06408191,-0.9974753,0.03020492,0,0,"",0,57.29578
Bone,"左スカート26","",0,1,2.556908,3.106656,0.3578369,1,0,0,1,1,"左スカート25",0,"",0.02033114,-0.3164709,0.009583145,0,0,0,1,"",0,0,0,0,1,-0.9956121,-0.06183466,0.07023408,0.06408129,-0.9974776,0.03020498,0,0,"",0,57.29578
Bone,"左スカート31","",0,0,1.755042,12.8624,0.6126471,1,0,0,1,1,"下半身",0,"",0.2267023,-1.794762,0.1243579,0,0,0,1,"",0,0,0,0,1,-0.9883317,-0.1181814,0.09609041,0.1250208,-0.9897675,0.06858031,0,0,"",0,57.29578
Bone,"左スカート32","",0,0,1.981744,11.06764,0.737005,1,0,0,1,1,"左スカート31",0,"",0.2532758,-2.127774,0.09805846,0,0,0,1,"",0,0,0,0,1,-0.9921105,-0.1158908,0.04780867,0.1180728,-0.9919322,0.04571313,0,0,"",0,57.29578
Bone,"左スカート33","",0,0,2.23502,8.939864,0.8350635,1,0,0,1,1,"左スカート32",0,"",0.2184868,-2.102139,0.03508627,0,0,0,1,"",0,0,0,0,1,-0.9928048,-0.1021445,0.06249396,0.1033662,-0.9945231,0.0165996,0,0,"",0,57.29578
Bone,"左スカート34","",0,0,2.453506,6.837725,0.8701497,1,0,0,1,1,"左スカート33",0,"",0.1747403,-1.478461,0.002260268,0,0,0,1,"",0,0,0,0,1,-0.9900752,-0.1168984,0.07801273,0.1173741,-0.9930906,0.001518258,0,0,"",0,57.29578
Bone,"左スカート35","",0,1,2.628247,5.359263,0.87241,1,0,0,1,1,"左スカート34",0,"",0.04341364,-0.3673191,0.02439106,0,0,0,1,"",0,0,0,0,1,-0.9908701,-0.1121421,0.07483648,0.1171189,-0.9909328,0.06580072,0,0,"",0,57.29578
Bone,"左スカート41","",0,0,1.406167,12.8624,0.7414907,1,0,0,1,1,"下半身",0,"",0.2244802,-1.794762,0.2010325,0,0,0,1,"",0,0,0,0,1,-0.9892612,-0.113404,0.09220583,0.1233492,-0.9862004,0.1104651,0,0,"",0,57.29578
Bone,"左スカート42","",0,0,1.630647,11.06764,0.9425232,1,0,0,1,1,"左スカート41",0,"",0.1232378,-2.127774,0.1745651,0,0,0,1,"",0,0,0,0,1,-0.9978669,-0.05489669,0.03532899,0.05762921,-0.9950024,0.08163124,0,0,"",0,57.29578
Bone,"左スカート43","",0,0,1.753885,8.939864,1.117088,1,0,0,1,1,"左スカート42",0,"",0.1232376,-2.102139,0.1034003,0,0,0,1,"",0,0,0,0,1,-0.9977818,-0.05678587,0.03474264,0.05845451,-0.9970946,0.04904522,0,0,"",0,57.29578
Bone,"左スカート44","",0,0,1.877123,6.837725,1.220489,1,0,0,1,1,"左スカート43",0,"",0.09817946,-1.479836,0.02946544,0,0,0,1,"",0,0,0,0,1,-0.9969161,-0.0652729,0.04356031,0.0661856,-0.9975999,0.01986351,0,0,"",0,57.29578
Bone,"左スカート45","",0,1,1.975302,5.357889,1.249954,1,0,0,1,1,"左スカート44",0,"",0.02427852,-0.3659449,0.02429962,0,0,0,1,"",0,0,0,0,1,-0.9970961,-0.063345,0.04227388,0.06605541,-0.9956388,0.06611291,0,0,"",0,57.29578
Bone,"左スカート51","",0,0,1.081865,12.8624,1.074422,1,0,0,1,1,"下半身",0,"",0.1531589,-1.794762,0.2269326,0,0,0,1,"",0,0,0,0,1,-0.9950635,-0.07699933,0.06260626,0.08435991,-0.9885543,0.1249945,0,0,"",0,57.29578
Bone,"左スカート52","",0,0,1.235024,11.06764,1.301355,1,0,0,1,1,"左スカート51",0,"",0.01602995,-2.127774,0.1742922,0,0,0,1,"",0,0,0,0,1,-0.999964,-0.007156157,0.004605409,0.007508457,-0.9966531,0.08163898,0,0,"",0,57.29578
Bone,"左スカート53","",0,0,1.251054,8.939864,1.475647,1,0,0,1,1,"左スカート52",0,"",0.092219,-2.102139,0.1034003,0,0,0,1,"",0,0,0,0,1,-0.9987559,-0.04253449,0.02602352,0.04377358,-0.9978223,0.04908093,0,0,"",0,57.29578
Bone,"左スカート54","",0,0,1.343273,6.837725,1.579047,1,0,0,1,1,"左スカート53",0,"",0,-1.481585,0.02958143,0,0,0,1,"",0,0,0,0,1,-1,0,0,0,-0.9998007,0.01996207,0,0,"",0,57.29578
Bone,"左スカート55","",0,1,1.343273,5.35614,1.608629,1,0,0,1,1,"左スカート54",0,"",0,-0.3641958,0.02418375,0,0,0,1,"",0,0,0,0,1,-0.9999998,0,0,0,-0.9977849,0.06625575,0,0,"",0,57.29578
Bone,"左スカート61","",0,0,0.5884829,12.8624,1.074422,1,0,0,1,1,"下半身",0,"",0,-1.794762,0.1243581,0,0,0,1,"",0,0,0,0,1,-0.9999998,0,0,0,-0.9975905,0.06912225,0,0,"",0,57.29578
Bone,"左スカート62","",0,0,0.5884829,11.06764,1.19878,1,0,0,1,1,"左スカート61",0,"",0,-2.127774,0.09805846,0,0,0,1,"",0,0,0,0,1,-1,0,0,0,-0.9989398,0.04603624,0,0,"",0,57.29578
Bone,"左スカート63","",0,0,0.5884829,8.939864,1.296839,1,0,0,1,1,"左スカート62",0,"",0,-2.102139,0.1034003,0,0,0,1,"",0,0,0,0,1,-1,0,0,0,-0.9987925,0.04912865,0,0,"",0,57.29578
Bone,"左スカート64","",0,0,0.5884829,6.837725,1.400239,1,0,0,1,1,"左スカート63",0,"",0,-1.480712,0.02952361,0,0,0,1,"",0,0,0,0,1,-0.9999999,0,0,0,-0.9997903,0.01993449,0,0,"",0,57.29578
Bone,"左スカート65","",0,1,0.5884829,5.357012,1.429762,1,0,0,1,1,"左スカート64",0,"",0,-0.365068,0.02424145,0,0,0,1,"",0,0,0,0,1,-1,0,0,0,-0.997807,0.06625691,0,0,"",0,57.29578
Bone,"スカート71","",0,0,0,12.8624,1.074422,1,0,0,1,1,"下半身",0,"",0,-1.794762,0.1243581,0,0,0,1,"",0,0,0,0,1,-0.9999998,0,0,0,-0.9975905,0.06912225,0,0,"",0,57.29578
Bone,"スカート72","",0,0,0,11.06764,1.19878,1,0,0,1,1,"スカート71",0,"",0,-2.127774,0.09805846,0,0,0,1,"",0,0,0,0,1,-1,0,0,0,-0.9989398,0.04603624,0,0,"",0,57.29578
Bone,"スカート73","",0,0,0,8.939864,1.296839,1,0,0,1,1,"スカート72",0,"",0,-2.102139,0.1034003,0,0,0,1,"",0,0,0,0,1,-1,0,0,0,-0.9987925,0.04912865,0,0,"",0,57.29578
Bone,"スカート74","",0,0,0,6.837725,1.400239,1,0,0,1,1,"スカート73",0,"",0,-1.480712,0.02952361,0,0,0,1,"",0,0,0,0,1,-0.9999999,0,0,0,-0.9997903,0.01993449,0,0,"",0,57.29578
Bone,"スカート75","",0,1,0,5.357012,1.429762,1,0,0,1,1,"スカート74",0,"",0,-0.365068,0.02424145,0,0,0,1,"",0,0,0,0,1,-1,0,0,0,-0.997807,0.06625691,0,0,"",0,57.29578
Bone,"左足","leg_L",0,0,1.204425,12.17833,-0.1082373,1,0,0,1,1,"下半身",0,"",-0.391925,-4.030018,-0.2162127,0,0,0,1,"",0,0,0,0,1,0.9953043,-0.09679478,-3.72529E-09,-0.09665644,-0.9938819,-0.05332221,0,0,"",0,57.29578
Bone,"左ひざ","knee_L",0,0,0.8125,8.148313,-0.32445,1,0,0,1,1,"左足",0,"",0.4359412,-5.724149,0.5629875,0,0,0,1,"",0,0,0,0,1,0.9971125,0.07593834,0,0.07557577,-0.9923518,0.0976007,0,0,"",0,57.29578
Bone,"左足首","ankle_L",0,0,1.248441,2.424163,0.2385375,1,0,0,1,1,"左ひざ",0,"",0,-2.285001,-2.174887,0,0,0,1,"",0,0,0,0,1,1,0,0,0,-0.7243443,-0.6894385,0,0,"",0,57.29578
Bone,"左つま先_d","",0,0,1.248441,0.1391625,-1.93635,1,0,0,0,1,"左足首",0,"",0,0,0,0,0,0,1,"",0,0,0,0,1,1,0,0,0,0,-1,0,0,"",0,57.29578
Bone,"左つま先","",0,1,1.248441,0.809009,-0.8799039,1,0,0,1,1,"左足首",0,"",0,-0.6698465,-1.734208,0,0,0,1,"",0,0,0,0,1,1,0,0,0,-0.360311,-0.9328322,0,0,"",0,57.29578
Bone,"右足","leg_R",0,0,-1.204425,12.17833,-0.1082373,1,0,0,1,1,"下半身",0,"",0.391925,-4.030018,-0.2162127,0,0,0,1,"",0,0,0,0,1,0.9953043,0.09679478,3.72529E-09,0.09665644,-0.9938819,-0.05332221,0,0,"",0,57.29578
Bone,"右ひざ","knee_R",0,0,-0.8125,8.148313,-0.32445,1,0,0,1,1,"右足",0,"",-0.4359412,-5.724149,0.5629875,0,0,0,1,"",0,0,0,0,1,0.9971125,-0.07593834,0,-0.07557577,-0.9923518,0.0976007,0,0,"",0,57.29578
Bone,"右足首","ankle_R",0,0,-1.248441,2.424163,0.2385375,1,0,0,1,1,"右ひざ",0,"",0,-2.285001,-2.174887,0,0,0,1,"",0,0,0,0,1,1,0,0,0,-0.7243443,-0.6894385,0,0,"",0,57.29578
Bone,"右つま先_d","",0,0,-1.248441,0.1391625,-1.93635,1,0,0,0,1,"右足首",0,"",0,0,0,0,0,0,1,"",0,0,0,0,1,1,0,0,0,0,-1,0,0,"",0,57.29578
Bone,"右つま先","",0,1,-1.248441,0.809009,-0.8799039,1,0,0,1,1,"右足首",0,"",0,-0.6698465,-1.734208,0,0,0,1,"",0,0,0,0,1,1,0,0,0,-0.360311,-0.9328322,0,0,"",0,57.29578
Bone,"上半身","upper body",0,0,0,14.19576,-0.6025,1,0,0,1,1,"センター",0,"",0,1.099105,0,0,0,0,1,"",0,0,0,0,1,-0.9999999,0,0,0,0.999989,-5.960399E-08,0,0,"",0,57.29578
Bone,"上半身2","upper body2",0,0,0,15.29486,-0.6025,1,0,0,1,1,"上半身",0,"",0,2.391247,0.6025,0,0,0,1,"",0,0,0,0,1,-0.9999999,0,0,0,0.9696825,0.2443218,0,0,"",0,57.29578
Bone,"右ネックレス1","",0,0,-0.3331543,17.80241,-0.3958568,1,0,0,1,1,"上半身2",0,"",0.1627383,-0.3073902,-0.2632538,0,0,0,1,"",0,0,0,0,1,0.8585984,0.0157247,0.5124076,0.3730774,-0.7046916,-0.6035089,0,0,"",0,57.29578
Bone,"右ネックレス2","",0,0,-0.170416,17.49502,-0.6591106,1,0,0,1,1,"右ネックレス1",0,"",0.170416,-0.149271,-0.1608249,0,0,0,1,"",0,0,0,0,1,0.7051609,0.04249437,0.7077729,0.6133919,-0.5372838,-0.5788699,0,0,"",0,57.29578
Bone,"左ネックレス1","",0,0,0.3331543,17.80241,-0.3958568,1,0,0,1,1,"上半身2",0,"",-0.1627383,-0.3073902,-0.2632538,0,0,0,1,"",0,0,0,0,1,0.8585984,-0.0157247,-0.5124076,-0.3730774,-0.7046916,-0.6035089,0,0,"",0,57.29578
