;Material,材質名,材質名(英),拡散色_R,拡散色_G,拡散色_B,拡散色_A(非透過度),反射色_R,反射色_G,反射色_B,反射強度,環境色_R,環境色_G,環境色_B,両面描画(0/1),地面影(0/1),セルフ影マップ(0/1),セルフ影(0/1),頂点色(0/1),描画(0:Tri/1:Point/2:Line),エッジ(0/1),エッジサイズ,エッジ色_R,エッジ色_G,エッジ色_B,エッジ色_A,テクスチャパス,スフィアテクスチャパス,スフィアモード(0:無効/1:乗算/2:加算/3:サブテクスチャ),Toonテクスチャパス,メモ
Material,"m_ca_gold","m_ca_gold",1,1,1,1,1,1,1,10,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"gold.png","sm_metal2.sph",1,"toon.bmp",""
Material,"m_ca_black1","m_ca_black1",1,1,1,1,0,0,0,5,0.6,0.6,0.6,1,1,1,1,0,0,0,1,0,0,0,1,"black.png","sm1.spa",2,"toon.bmp",""
Material,"m_ca_black_metal","m_ca_black_metal",1,1,1,1,1,1,1,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"black.png","sm3.spa",2,"toon.bmp",""
Material,"m_red_light","m_red_light",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"red.png","sm1.spa",2,"toon.bmp",""
Material,"m_ca_hone2","m_ca_hone2",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"gray.png","sm1.spa",2,"toon.bmp",""
Material,"m_green_light","m_green_light",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"green.png","sm1.spa",2,"toon.bmp",""
Material,"m_nursecap","m_nursecap",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"ha-to.png","sm1.spa",2,"toon.bmp",""
Material,"m_necklace1","m_necklace1",1,1,1,1,0.87,0.87,0.87,18,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"silver.png","sm_metal2.sph",1,"toon.bmp",""
Material,"m_necklace2","m_necklace2",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"hone.jpg","sm1.spa",2,"toon.bmp",""
Material,"m_earring1","m_earring1",1,1,1,1,0.87,0.87,0.87,18,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"silver.png","sm_metal2.sph",1,"toon.bmp",""
Material,"m_earring2","m_earring2",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"red.png","sm_metal2.sph",1,"toon.bmp",""
Material,"m_ribbon1","m_ribbon1",1,1,1,1,0,0,0,5,0.6,0.6,0.6,1,1,1,1,0,0,0,1,0,0,0,1,"white.png","sm1.spa",2,"toon.bmp",""
Material,"m_ribbon2","m_ribbon2",1,1,1,1,0,0,0,5,0.6,0.6,0.6,1,1,1,1,0,0,0,1,0,0,0,1,"red.png","sm1.spa",2,"toon.bmp",""
Material,"m_belt1","m_belt1",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"belt02.png","sm2.spa",2,"toon.bmp",""
Material,"m_belt2","m_belt2",1,1,1,1,1,1,1,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"silver.png","sm_metal2.sph",1,"toon.bmp",""
Material,"m_box1","m_box1",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"white.png","sm1.spa",2,"toon.bmp",""
Material,"m_box2","m_box2",1,1,1,1,1,1,1,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"silver.png","sm_metal2.sph",1,"toon.bmp",""
Material,"m_coat1","m_coat1",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"white.png","sm1.spa",2,"toon.bmp",""
Material,"m_coat2","m_coat2",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"red.png","sm1.spa",2,"toon.bmp",""
Material,"m_skirt1","m_skirt1",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"white.png","sm1.spa",2,"toon.bmp",""
Material,"m_skirt2","m_skirt2",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"red.png","sm1.spa",2,"toon.bmp",""
Material,"m_skirt3","m_skirt3",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"belt02.png","sm2.spa",2,"toon.bmp",""
Material,"m_skirt4","m_skirt4",1,1,1,1,1,1,1,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"silver.png","sm_metal2.sph",1,"toon.bmp",""
Material,"m_skirt5","m_skirt5",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"black.png","sm1.spa",2,"toon.bmp",""
Material,"m_maebari","m_maebari",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"white.png","sm_wa.spa",2,"toon.bmp",""
Material,"m_ca_matuge","m_ca_matuge",1,1,1,1,0,0,0,5,0.6,0.6,0.6,1,0,0,0,0,0,0,1,0,0,0,1,"matuge.png","sm1.spa",2,"toon.bmp",""
Material,"m_syringe1","m_syringe1",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"black.png","sm1.spa",2,"toon.bmp",""
Material,"m_syringe2","m_syringe2",1,1,1,1,0.79,0.79,0.79,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"silver.png","sm_metal2.sph",1,"toon.bmp",""
Material,"m_syringe3","m_syringe3",1,1,1,1,0,0,0,5,0.6,0.6,0.6,0,1,1,1,0,0,0,1,0,0,0,1,"","sm5.sph",1,"toon.bmp",""
