;Joint,Joint名,Joint名(英),剛体名A,剛体名B,Jointタイプ(0:ﾊﾞﾈ付6DOF/1:6DOF/2:ConeTwist/3:P2P/4:Slider/5:Hinge/),位置_x,位置_y,位置_z,回転_x[deg],回転_y[deg],回転_z[deg],移動下限_x,移動下限_y,移動下限_z,移動上限_x,移動上限_y,移動上限_z,回転下限_x[deg],回転下限_y[deg],回転下限_z[deg],回転上限_x[deg],回転上限_y[deg],回転上限_z[deg],バネ定数-移動_x,バネ定数-移動_y,バネ定数-移動_z,バネ定数-回転_x,バネ定数-回転_y,バネ定数-回転_z
Joint,"左後髪0507","","左後髪0506","左後髪0507",0,2.503701,8.098494,2.862156,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"左後髪0508","","左後髪0507","左後髪0508",0,2.461995,5.653879,2.871174,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"左後髪0509","","左後髪0508","左後髪0509",0,2.342522,3.53725,2.79028,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"右後髪0501","","頭_1","右後髪0501",0,-0.7218636,20.29579,1.026955,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"右後髪0502","","右後髪0501","右後髪0502",0,-1.248289,18.12764,1.536289,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"右後髪0503","","右後髪0502","右後髪0503",0,-1.630875,16.34082,1.924871,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"右後髪0504","","右後髪0503","右後髪0504",0,-2.107221,14.52573,2.354232,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"右後髪0505","","右後髪0504","右後髪0505",0,-2.463612,12.49493,2.692989,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"右後髪0506","","右後髪0505","右後髪0506",0,-2.544593,10.31668,2.831502,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"右後髪0507","","右後髪0506","右後髪0507",0,-2.503701,8.098494,2.862156,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"右後髪0508","","右後髪0507","右後髪0508",0,-2.461995,5.653879,2.871174,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"右後髪0509","","右後髪0508","右後髪0509",0,-2.342522,3.53725,2.79028,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,0,0,0
Joint,"右イヤリング","","頭_1","右イヤリング",0,-0.6944914,18.8128,-0.05941217,0,0,0,0,0,0,0,0,0,-90,-30,-90,90,30,90,0,0,0,0,0,0
Joint,"左イヤリング","","頭_1","左イヤリング",0,0.6944914,18.8128,-0.05941217,0,0,0,0,0,0,0,0,0,-90,-30,-90,90,30,90,0,0,0,0,0,0
Joint,"左リボン11","","左後髪0401","左リボン11",0,1.176091,19.77418,0.748638,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,5,5,5
Joint,"左リボン12","","左リボン11","左リボン12",0,1.532224,19.12652,0.4762222,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,5,5,5
Joint,"左リボン21","","左後髪0401","左リボン21",0,0.9794288,19.85031,1.006143,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,5,5,5
Joint,"左リボン22","","左リボン21","左リボン22",0,0.7566497,19.16736,1.391946,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,5,5,5
Joint,"右リボン11","","右後髪0401","右リボン11",0,-1.176091,19.77418,0.748638,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,5,5,5
Joint,"右リボン12","","右リボン11","右リボン12",0,-1.532224,19.12652,0.4762222,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,5,5,5
Joint,"右リボン21","","右後髪0401","右リボン21",0,-0.9794288,19.85031,1.006143,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,5,5,5
Joint,"右リボン22","","右リボン21","右リボン22",0,-0.7566497,19.16736,1.391946,0,0,0,0,0,0,0,0,0,-30,-30,-30,30,30,30,0,0,0,5,5,5
Joint,"左スカート11","","下半身_1","左スカート11",0,1.860648,12.8624,-0.5284371,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート12","","左スカート11","左スカート12",0,2.085081,11.06764,-0.4040792,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート13","","左スカート12","左スカート13",0,2.292964,8.939864,-0.3573143,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート14","","左スカート13","左スカート14",0,2.516159,6.837725,-0.3624996,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート15","","左スカート14","左スカート15",0,2.759019,4.902694,-0.3039043,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート21","","下半身_1","左スカート21",0,1.871477,12.8624,0.07891774,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート22","","左スカート21","左スカート22",0,2.07047,11.06764,0.2032757,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート23","","左スカート22","左スカート23",0,2.228301,8.939864,0.2500405,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート24","","左スカート23","左スカート24",0,2.299704,6.837725,0.2448553,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート25","","左スカート24","左スカート25",0,2.441523,4.902694,0.3034506,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート31","","下半身_1","左スカート31",0,1.755042,12.8624,0.6126471,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート32","","左スカート31","左スカート32",0,1.981744,11.06764,0.737005,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート33","","左スカート32","左スカート33",0,2.23502,8.939864,0.8350635,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート34","","左スカート33","左スカート34",0,2.453506,6.837725,0.8701497,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート41","","下半身_1","左スカート41",0,1.406167,12.8624,0.7414907,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート42","","左スカート41","左スカート42",0,1.630647,11.06764,0.9425232,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート43","","左スカート42","左スカート43",0,1.753885,8.939864,1.117088,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート44","","左スカート43","左スカート44",0,1.877123,6.837725,1.220489,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート51","","下半身_1","左スカート51",0,1.081865,12.8624,1.074422,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート52","","左スカート51","左スカート52",0,1.235024,11.06764,1.301355,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート53","","左スカート52","左スカート53",0,1.251054,8.939864,1.475647,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート54","","左スカート53","左スカート54",0,1.343273,6.837725,1.579047,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート61","","下半身_1","左スカート61",0,0.5884829,12.8624,1.074422,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート62","","左スカート61","左スカート62",0,0.5884829,11.06764,1.19878,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート63","","左スカート62","左スカート63",0,0.5884829,8.939864,1.296839,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート64","","左スカート63","左スカート64",0,0.5884829,6.837725,1.400239,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"スカート71","","下半身_1","スカート71",0,0,12.8624,1.074422,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"スカート72","","スカート71","スカート72",0,0,11.06764,1.19878,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"スカート73","","スカート72","スカート73",0,0,8.939864,1.296839,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"スカート74","","スカート73","スカート74",0,0,6.837725,1.400239,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート61","","下半身_1","右スカート61",0,-0.5884829,12.8624,1.074422,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート62","","右スカート61","右スカート62",0,-0.5884829,11.06764,1.19878,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート63","","右スカート62","右スカート63",0,-0.5884829,8.939864,1.296839,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート64","","右スカート63","右スカート64",0,-0.5884829,6.837725,1.400239,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート51","","下半身_1","右スカート51",0,-1.081865,12.8624,1.074422,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート52","","右スカート51","右スカート52",0,-1.235024,11.06764,1.301355,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート53","","右スカート52","右スカート53",0,-1.251054,8.939864,1.475647,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート54","","右スカート53","右スカート54",0,-1.343273,6.837725,1.579047,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート41","","下半身_1","右スカート41",0,-1.406167,12.8624,0.7414907,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート42","","右スカート41","右スカート42",0,-1.630647,11.06764,0.9425232,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート43","","右スカート42","右スカート43",0,-1.753885,8.939864,1.117088,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート44","","右スカート43","右スカート44",0,-1.877123,6.837725,1.220489,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート31","","下半身_1","右スカート31",0,-1.755042,12.8624,0.6126471,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート32","","右スカート31","右スカート32",0,-1.981744,11.06764,0.737005,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート33","","右スカート32","右スカート33",0,-2.23502,8.939864,0.8350635,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート34","","右スカート33","右スカート34",0,-2.453506,6.837725,0.8701497,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート21","","下半身_1","右スカート21",0,-1.871477,12.8624,0.07891774,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート22","","右スカート21","右スカート22",0,-2.07047,11.06764,0.2032757,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート23","","右スカート22","右スカート23",0,-2.228301,8.939864,0.2500405,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート24","","右スカート23","右スカート24",0,-2.299704,6.837725,0.2448553,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート25","","右スカート24","右スカート25",0,-2.441523,4.902694,0.3034506,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート11","","下半身_1","右スカート11",0,-1.860648,12.8624,-0.5284371,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート12","","右スカート11","右スカート12",0,-2.085081,11.06764,-0.4040792,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート13","","右スカート12","右スカート13",0,-2.292964,8.939864,-0.3573143,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート14","","右スカート13","右スカート14",0,-2.516159,6.837725,-0.3624996,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート15","","右スカート14","右スカート15",0,-2.759019,4.902694,-0.3039043,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート15_","","右スカート15","右スカート14",0,-2.759019,4.902694,-0.3039043,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート14_","","右スカート14","右スカート13",0,-2.516159,6.837725,-0.3624996,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート13_","","右スカート13","右スカート12",0,-2.292964,8.939864,-0.3573143,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート12_","","右スカート12","右スカート11",0,-2.085081,11.06764,-0.4040792,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート11_","","右スカート11","下半身_1",0,-1.860648,12.8624,-0.5284371,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート25_","","右スカート25","右スカート24",0,-2.441523,4.902694,0.3034506,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート24_","","右スカート24","右スカート23",0,-2.299704,6.837725,0.2448553,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート23_","","右スカート23","右スカート22",0,-2.228301,8.939864,0.2500405,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート22_","","右スカート22","右スカート21",0,-2.07047,11.06764,0.2032757,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート21_","","右スカート21","下半身_1",0,-1.871477,12.8624,0.07891774,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート34_","","右スカート34","右スカート33",0,-2.453506,6.837725,0.8701497,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート33_","","右スカート33","右スカート32",0,-2.23502,8.939864,0.8350635,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート32_","","右スカート32","右スカート31",0,-1.981744,11.06764,0.737005,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート31_","","右スカート31","下半身_1",0,-1.755042,12.8624,0.6126471,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート44_","","右スカート44","右スカート43",0,-1.877123,6.837725,1.220489,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート43_","","右スカート43","右スカート42",0,-1.753885,8.939864,1.117088,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート42_","","右スカート42","右スカート41",0,-1.630647,11.06764,0.9425232,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート41_","","右スカート41","下半身_1",0,-1.406167,12.8624,0.7414907,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート54_","","右スカート54","右スカート53",0,-1.343273,6.837725,1.579047,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート53_","","右スカート53","右スカート52",0,-1.251054,8.939864,1.475647,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート52_","","右スカート52","右スカート51",0,-1.235024,11.06764,1.301355,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート51_","","右スカート51","下半身_1",0,-1.081865,12.8624,1.074422,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート64_","","右スカート64","右スカート63",0,-0.5884829,6.837725,1.400239,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート63_","","右スカート63","右スカート62",0,-0.5884829,8.939864,1.296839,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート62_","","右スカート62","右スカート61",0,-0.5884829,11.06764,1.19878,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"右スカート61_","","右スカート61","下半身_1",0,-0.5884829,12.8624,1.074422,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"スカート74_","","スカート74","スカート73",0,0,6.837725,1.400239,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"スカート73_","","スカート73","スカート72",0,0,8.939864,1.296839,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"スカート72_","","スカート72","スカート71",0,0,11.06764,1.19878,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"スカート71_","","スカート71","下半身_1",0,0,12.8624,1.074422,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート64_","","左スカート64","左スカート63",0,0.5884829,6.837725,1.400239,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート63_","","左スカート63","左スカート62",0,0.5884829,8.939864,1.296839,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート62_","","左スカート62","左スカート61",0,0.5884829,11.06764,1.19878,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート61_","","左スカート61","下半身_1",0,0.5884829,12.8624,1.074422,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート54_","","左スカート54","左スカート53",0,1.343273,6.837725,1.579047,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート53_","","左スカート53","左スカート52",0,1.251054,8.939864,1.475647,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート52_","","左スカート52","左スカート51",0,1.235024,11.06764,1.301355,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート51_","","左スカート51","下半身_1",0,1.081865,12.8624,1.074422,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート44_","","左スカート44","左スカート43",0,1.877123,6.837725,1.220489,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート43_","","左スカート43","左スカート42",0,1.753885,8.939864,1.117088,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート42_","","左スカート42","左スカート41",0,1.630647,11.06764,0.9425232,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート41_","","左スカート41","下半身_1",0,1.406167,12.8624,0.7414907,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート34_","","左スカート34","左スカート33",0,2.453506,6.837725,0.8701497,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート33_","","左スカート33","左スカート32",0,2.23502,8.939864,0.8350635,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート32_","","左スカート32","左スカート31",0,1.981744,11.06764,0.737005,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート31_","","左スカート31","下半身_1",0,1.755042,12.8624,0.6126471,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート25_","","左スカート25","左スカート24",0,2.441523,4.902694,0.3034506,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート24_","","左スカート24","左スカート23",0,2.299704,6.837725,0.2448553,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート23_","","左スカート23","左スカート22",0,2.228301,8.939864,0.2500405,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
Joint,"左スカート22_","","左スカート22","左スカート21",0,2.07047,11.06764,0.2032757,0,0,0,0,0,0,0,0,0,-60,-30,-60,60,30,60,0,0,0,0,0,0
