;Body,剛体名,剛体名(英),関連ボーン名,剛体タイプ(0:Bone/1:物理演算/2:物理演算+ボーン追従),グループ(0~15),非衝突グループ文字列(ex:1 2 3 4),形状(0:球/1:箱/2:カプセル),サイズ_x,サイズ_y,サイズ_z,位置_x,位置_y,位置_z,回転_x[deg],回転_y[deg],回転_z[deg],質量,移動減衰,回転減衰,反発力,摩擦力
Body,"右後髪0201","","右後髪0201",2,1,,2,0.15,0.5,0,-0.5528691,18.82123,0.7812731,0,0,0,0.1,0.95,0.95,0,0.5
Body,"左後髪0201","","左後髪0201",2,1,,2,0.15,0.5,0,0.5528691,18.82123,0.7812731,0,0,0,0.1,0.95,0.95,0,0.5
Body,"後髪0101","","後髪0101",2,1,,2,0.15,0.5,0,0,18.82123,0.9689329,0,0,0,0.1,0.95,0.95,0,0.5
Body,"左後髪0401","","左後髪0401",2,2,3 7 ,2,0.8,0.3,0,1.095031,19.97389,1.307774,-16.3998,-38.8221,70.6651,0.3,0.95,0.95,0,0.5
Body,"左後髪0402","","左後髪0402",2,2,3 ,2,1,0.3,0,1.733034,19.11455,2.039473,-21.8103,-6.2969,16.5415,0.2,0.95,0.95,0,0.5
Body,"左後髪0403","","左後髪0403",2,2,3 ,2,0.8,0.3,0,2.03806,17.62948,2.560467,-15.71733,-2.468058,9.040724,0.1,0.95,0.95,0,0.5
Body,"右後髪0401","","右後髪0401",2,3,4 7 ,2,0.8,0.3,0,-1.095031,19.97389,1.307774,-16.3998,38.8221,-70.6651,0.3,0.95,0.95,0,0.5
Body,"右後髪0402","","右後髪0402",2,3,4 ,2,1,0.3,0,-1.733034,19.11455,2.039473,-21.8103,6.2969,-16.5415,0.2,0.95,0.95,0,0.5
Body,"右後髪0403","","右後髪0403",2,3,4 ,2,0.8,0.3,0,-2.03806,17.62948,2.560467,-15.71733,2.468058,-9.040724,0.1,0.95,0.95,0,0.5
Body,"左後髪0501","","左後髪0501",2,4,3 5 7 ,2,0.5,1,0,0.9850763,19.21171,1.281622,-12.4903,-3.0831,13.9848,0.9,0.95,0.95,0,0.5
Body,"左後髪0502","","左後髪0502",2,4,5 ,2,0.8,1,0,1.439582,17.23423,1.73058,-11.7353,-2.5493,12.3475,0.8,0.95,0.95,0,0.5
Body,"左後髪0503","","左後髪0503",2,4,5 ,2,0.9,1,0,1.869048,15.43327,2.139551,-12.4586,-3.324,15.0678,0.7,0.95,0.95,0,0.5
Body,"左後髪0504","","左後髪0504",2,4,5 ,2,1,1,0,2.285417,13.51033,2.52361,-9.1886,-1.6267,10.0843,0.1,0.95,0.95,0,0.5
Body,"左後髪0505","","左後髪0505",2,4,5 ,2,1,1,0,2.504102,11.4058,2.762246,-3.6335,-0.1353,2.1334,0.5,0.95,0.95,0,0.5
Body,"左後髪0506","","左後髪0506",2,4,5 ,2,1,1,0,2.524147,9.207586,2.846829,-0.7915,0.0146,-1.0562,0.4,0.95,0.95,0,0.5
Body,"左後髪0507","","左後髪0507",2,4,5 ,2,1,1,0,2.482848,6.876186,2.866665,-0.2113,0.0036,-0.9773999,0.3,0.95,0.95,0,0.5
Body,"左後髪0508","","左後髪0508",2,4,5 ,2,1,1,0,2.402258,4.595565,2.830727,2.1817,-0.1232,-3.233,0.2,0.95,0.95,0,0.5
Body,"左後髪0509","","左後髪0509",2,4,5 ,2,0.6,1,0,2.261237,2.480838,2.742777,2.5595,-0.1971,-4.4043,0.1,0.95,0.95,0,0.5
Body,"右後髪0501","","右後髪0501",2,5,4 6 7 ,2,0.5,1,0,-0.9850763,19.21171,1.281622,-12.4903,3.0831,-13.9848,0.9,0.95,0.95,0,0.5
Body,"右後髪0502","","右後髪0502",2,5,6 ,2,0.8,1,0,-1.439582,17.23423,1.73058,-11.7353,2.5493,-12.3475,0.8,0.95,0.95,0,0.5
Body,"右後髪0503","","右後髪0503",2,5,6 ,2,0.9,1,0,-1.869048,15.43327,2.139551,-12.4586,3.324,-15.0678,0.7,0.95,0.95,0,0.5
Body,"右後髪0504","","右後髪0504",2,5,6 ,2,1,1,0,-2.285417,13.51033,2.52361,-9.1886,1.6267,-10.0843,0.6,0.95,0.95,0,0.5
Body,"右後髪0505","","右後髪0505",2,5,6 ,2,1,1,0,-2.504102,11.4058,2.762246,-3.6335,0.1353,-2.1334,0.5,0.95,0.95,0,0.5
Body,"右後髪0506","","右後髪0506",2,5,6 ,2,1,1,0,-2.524147,9.207586,2.846829,-0.7915,-0.0146,1.0562,0.4,0.95,0.95,0,0.5
Body,"右後髪0507","","右後髪0507",2,5,6 ,2,1,1,0,-2.482848,6.876186,2.866665,-0.2113,-0.0036,0.9773999,0.3,0.95,0.95,0,0.5
Body,"右後髪0508","","右後髪0508",2,5,6 ,2,1,1,0,-2.402258,4.595565,2.830727,2.1817,0.1232,3.233,0.2,0.95,0.95,0,0.5
Body,"右後髪0509","","右後髪0509",2,5,6 ,2,0.6,1,0,-2.261237,2.480838,2.742777,2.5595,0.1971,4.4043,0.1,0.95,0.95,0,0.5
Body,"右イヤリング","","右イヤリング",2,1,1 ,2,0.1,0.4,0,-0.6944914,18.47573,-0.05941217,0,0,0,0.1,0.5,0.5,0,0.5
Body,"左イヤリング","","左イヤリング",2,1,1 ,2,0.1,0.4,0,0.6944914,18.47573,-0.05941217,0,0,0,0.1,0.5,0.5,0,0.5
Body,"左リボン11","","左リボン11",2,6,3 4 5 6 7 ,2,0.1575438,0.7877188,0,1.354158,19.45035,0.6124301,17.6401,10.0702,30.3719,0.02,0.95,0.95,0,0.5
Body,"左リボン12","","左リボン12",2,6,7 ,2,0.1976603,0.9883014,0,1.6906,18.67234,0.3630078,12.4938,4.4314,19.7092,0.01,0.95,0.95,0,0.5
Body,"左リボン21","","左リボン21",2,6,3 4 5 6 7 ,2,0.1630815,0.8154073,0,0.8680393,19.50883,1.199044,-26.7318,9.456,-20.3181,0.02,0.95,0.95,0,0.5
Body,"左リボン22","","左リボン22",2,6,7 ,2,0.2326597,1.163299,0,0.5901873,18.65345,1.607595,-20.6533,7.013,-19.2273,0.01,0.95,0.95,0,0.5
Body,"右リボン11","","右リボン11",2,6,3 4 5 6 7 ,2,0.1575438,0.7877188,0,-1.354158,19.45035,0.6124301,17.6401,-10.0702,-30.3719,0.02,0.95,0.95,0,0.5
Body,"右リボン12","","右リボン12",2,6,7 ,2,0.1976603,0.9883014,0,-1.6906,18.67234,0.3630078,12.4938,-4.4314,-19.7092,0.01,0.95,0.95,0,0.5
Body,"右リボン21","","右リボン21",2,6,3 4 5 6 7 ,2,0.1630815,0.8154073,0,-0.8680393,19.50883,1.199044,-26.7318,-9.456,20.3181,0.02,0.95,0.95,0,0.5
Body,"右リボン22","","右リボン22",2,6,7 ,2,0.2326597,1.163299,0,-0.5901873,18.65345,1.607595,-20.6533,-7.013,19.2273,0.01,0.95,0.95,0,0.5
Body,"左スカート11","","左スカート11",2,1,,2,0.25,1.2,0,1.972865,11.96502,-0.4662581,-3.9027,-0.4888,7.1444,0.5,0.95,0.95,0,0.5
Body,"左スカート12","","左スカート12",2,1,,2,0.25,1.2,0,2.189023,10.00375,-0.3806968,-1.2472,-0.1219,5.5814,0.4,0.95,0.95,0,0.5
Body,"左スカート13","","左スカート13",2,1,,2,0.25,1.2,0,2.404561,7.888795,-0.3599069,0.1398,0.0148,6.0607,0.3,0.95,0.95,0,0.5
Body,"左スカート14","","左スカート14",2,1,,2,0.25,1.2,0,2.637589,5.87021,-0.3332019,-1.7076,-0.2144,7.156799,0.2,0.95,0.95,0,0.5
Body,"左スカート15","","左スカート15",2,1,,2,0.25,1,0,2.849123,4.002704,-0.2766514,-1.7173,-0.172,5.7198,0.1,0.95,0.95,0,0.5
Body,"左スカート21","","左スカート21",2,1,,2,0.25,1.2,0,1.970974,11.96502,0.1410967,-3.9156,-0.4348,6.3417,0.5,0.95,0.95,0,0.5
Body,"左スカート22","","左スカート22",2,1,,2,0.25,1.2,0,2.149385,10.00375,0.2266581,-1.2522,-0.0929,4.2432,0.4,0.95,0.95,0,0.5
Body,"左スカート23","","左スカート23",2,1,,2,0.25,1.2,0,2.264002,7.888795,0.2474479,0.1412,0.0048,1.9454,0.3,0.95,0.95,0,0.5
Body,"左スカート24","","左スカート24",2,1,,2,0.25,1.2,0,2.370614,5.87021,0.2741529,-1.7252,-0.1265,4.1937,0.2,0.95,0.95,0,0.5
Body,"左スカート25","","左スカート25",2,1,,2,0.25,1,0,2.499215,4.004676,0.3306438,-1.7273,-0.111,3.6775,0.1,0.95,0.95,0,0.5
Body,"左スカート31","","左スカート31",2,1,,2,0.25,1.2,0,1.868393,11.96502,0.6748261,-3.9015,-0.4936,7.2159,0.4,0.95,0.95,0,0.5
Body,"左スカート32","","左スカート32",2,1,,2,0.25,1.2,0,2.108382,10.00375,0.7860342,-2.6018,-0.3099,6.795199,0.3,0.95,0.95,0,0.5
Body,"左スカート33","","左スカート33",2,1,,2,0.25,1.2,0,2.344263,7.888795,0.8526067,-0.946,-0.0983,5.9346,0.2,0.95,0.95,0,0.5
Body,"左スカート34","","左スカート34",2,1,,2,0.25,1,0,2.540876,6.098495,0.8712798,-0.0864,-0.0102,6.7406,0.1,0.95,0.95,0,0.5
Body,"左スカート41","","左スカート41",2,1,,2,0.25,1.2,0,1.518407,11.96502,0.842007,-6.2929,-0.7903,7.1727,0.4,0.95,0.95,0,0.5
Body,"左スカート42","","左スカート42",2,1,,2,0.25,1.2,0,1.692266,10.00375,1.029806,-4.6744,-0.2713,3.3259,0.3,0.95,0.95,0,0.5
Body,"左スカート43","","左スカート43",2,1,,2,0.25,1.2,0,1.815504,7.888795,1.168788,-2.8064,-0.1647,3.3592,0.2,0.95,0.95,0,0.5
Body,"左スカート44","","左スカート44",2,1,,2,0.25,1,0,1.926213,6.097807,1.235222,-1.1357,-0.0754,3.7965,0.1,0.95,0.95,0,0.5
Body,"左スカート51","","左スカート51",2,1,,2,0.25,1.2,0,1.158444,11.96502,1.187888,-7.1544,-0.6137,4.916,0.4,0.95,0.95,0,0.5
Body,"左スカート52","","左スカート52",2,1,,2,0.25,1.2,0,1.243039,10.00375,1.388501,-4.6825,-0.0354,0.4331,0.3,0.95,0.95,0,0.5
Body,"左スカート53","","左スカート53",2,1,,2,0.25,1.2,0,1.297164,7.888795,1.527347,-2.8106,-0.1234,2.5149,0.2,0.95,0.95,0,0.5
Body,"左スカート54","","左スカート54",2,1,,2,0.25,1,0,1.343273,6.096932,1.593838,-1.1438,0,0,0.1,0.95,0.95,0,0.5
Body,"左スカート61","","左スカート61",2,1,,2,0.25,1.2,0,0.5884829,11.96502,1.136601,-3.9637,0,0,0.4,0.95,0.95,0,0.5
Body,"左スカート62","","左スカート62",2,1,,2,0.25,1.2,0,0.5884829,10.00375,1.247809,-2.6386,0,0,0.3,0.95,0.95,0,0.5
Body,"左スカート63","","左スカート63",2,1,,2,0.25,1.2,0,0.5884829,7.888795,1.348539,-2.816,0,0,0.2,0.95,0.95,0,0.5
Body,"左スカート64","","左スカート64",2,1,,2,0.25,1,0,0.5884829,6.097369,1.415001,-1.1423,0,0,0.1,0.95,0.95,0,0.5
Body,"スカート71","","スカート71",2,1,,2,0.25,1.2,0,0,11.96502,1.136601,-3.9637,0,0,0.4,0.95,0.95,0,0.5
Body,"スカート72","","スカート72",2,1,,2,0.25,1.2,0,0,10.00375,1.247809,-2.6386,0,0,0.3,0.95,0.95,0,0.5
Body,"スカート73","","スカート73",2,1,,2,0.25,1.2,0,0,7.888795,1.348539,-2.816,0,0,0.2,0.95,0.95,0,0.5
Body,"スカート74","","スカート74",2,1,,2,0.25,1,0,0,6.097369,1.415001,-1.1423,0,0,0.1,0.95,0.95,0,0.5
Body,"右スカート61","","右スカート61",2,1,,2,0.25,1.2,0,-0.5884829,11.96502,1.136601,-3.9637,0,0,0.4,0.95,0.95,0,0.5
Body,"右スカート62","","右スカート62",2,1,,2,0.25,1.2,0,-0.5884829,10.00375,1.247809,-2.6386,0,0,0.3,0.95,0.95,0,0.5
Body,"右スカート63","","右スカート63",2,1,,2,0.25,1.2,0,-0.5884829,7.888795,1.348539,-2.816,0,0,0.2,0.95,0.95,0,0.5
Body,"右スカート64","","右スカート64",2,1,,2,0.25,1,0,-0.5884829,6.097369,1.415001,-1.1423,0,0,0.1,0.95,0.95,0,0.5
Body,"右スカート51","","右スカート51",2,1,,2,0.25,1.2,0,-1.158444,11.96502,1.187888,-7.1544,0.6137,-4.916,0.4,0.95,0.95,0,0.5
Body,"右スカート52","","右スカート52",2,1,,2,0.25,1.2,0,-1.243039,10.00375,1.388501,-4.6825,0.0354,-0.4331,0.3,0.95,0.95,0,0.5
Body,"右スカート53","","右スカート53",2,1,,2,0.25,1.2,0,-1.297164,7.888795,1.527347,-2.8106,0.1234,-2.5149,0.2,0.95,0.95,0,0.5
Body,"右スカート54","","右スカート54",2,1,,2,0.25,1,0,-1.343273,6.096932,1.593838,-1.1438,0,0,0.1,0.95,0.95,0,0.5
Body,"右スカート41","","右スカート41",2,1,,2,0.25,1.2,0,-1.518407,11.96502,0.842007,-6.2929,0.7903,-7.1727,0.4,0.95,0.95,0,0.5
Body,"右スカート42","","右スカート42",2,1,,2,0.25,1.2,0,-1.692266,10.00375,1.029806,-4.6744,0.2713,-3.3259,0.3,0.95,0.95,0,0.5
Body,"右スカート43","","右スカート43",2,1,,2,0.25,1.2,0,-1.815504,7.888795,1.168788,-2.8064,0.1647,-3.3592,0.2,0.95,0.95,0,0.5
Body,"右スカート44","","右スカート44",2,1,,2,0.25,1,0,-1.926213,6.097808,1.235222,-1.1357,0.0754,-3.7965,0.1,0.95,0.95,0,0.5
Body,"右スカート31","","右スカート31",2,1,,2,0.25,1.2,0,-1.868393,11.96502,0.6748261,-3.9015,0.4936,-7.2159,0.4,0.95,0.95,0,0.5
Body,"右スカート32","","右スカート32",2,1,,2,0.25,1.2,0,-2.108382,10.00375,0.7860342,-2.6018,0.3099,-6.795199,0.3,0.95,0.95,0,0.5
Body,"右スカート33","","右スカート33",2,1,,2,0.25,1.2,0,-2.344263,7.888795,0.8526067,-0.946,0.0983,-5.9346,0.2,0.95,0.95,0,0.5
Body,"右スカート34","","右スカート34",2,1,,2,0.25,1,0,-2.540876,6.098495,0.8712798,-0.0864,0.0102,-6.7406,0.1,0.95,0.95,0,0.5
Body,"右スカート21","","右スカート21",2,1,,2,0.25,1.2,0,-1.970974,11.96502,0.1410967,-3.9156,0.4348,-6.3417,0.5,0.95,0.95,0,0.5
Body,"右スカート22","","右スカート22",2,1,,2,0.25,1.2,0,-2.149385,10.00375,0.2266581,-1.2522,0.0929,-4.2432,0.4,0.95,0.95,0,0.5
Body,"右スカート23","","右スカート23",2,1,,2,0.25,1.2,0,-2.264002,7.888795,0.2474479,0.1412,-0.0048,-1.9454,0.3,0.95,0.95,0,0.5
Body,"右スカート24","","右スカート24",2,1,,2,0.25,1.2,0,-2.370614,5.87021,0.2741529,-1.7252,0.1265,-4.1937,0.2,0.95,0.95,0,0.5
Body,"右スカート25","","右スカート25",2,1,,2,0.25,1,0,-2.499215,4.004676,0.3306438,-1.7273,0.111,-3.6775,0.1,0.95,0.95,0,0.5
Body,"右スカート11","","右スカート11",2,1,,2,0.25,1.2,0,-1.972865,11.96502,-0.4662581,-3.9027,0.4888,-7.1444,0.5,0.95,0.95,0,0.5
Body,"右スカート12","","右スカート12",2,1,,2,0.25,1.2,0,-2.189023,10.00375,-0.3806968,-1.2472,0.1219,-5.5814,0.4,0.95,0.95,0,0.5
Body,"右スカート13","","右スカート13",2,1,,2,0.25,1.2,0,-2.404561,7.888795,-0.3599069,0.1398,-0.0148,-6.0607,0.3,0.95,0.95,0,0.5
Body,"右スカート14","","右スカート14",2,1,,2,0.25,1.2,0,-2.637589,5.87021,-0.3332019,-1.7076,0.2144,-7.156799,0.2,0.95,0.95,0,0.5
Body,"右スカート15","","右スカート15",2,1,,2,0.25,1,0,-2.849123,4.002704,-0.2766514,-1.7173,0.172,-5.7198,0.1,0.95,0.95,0,0.5
